NewYork Chicago SanFransisco WashingtonDC LosAngeles NewOrleans Atlanta Boston LasVegas Seattle
none
Inf 789 2905 226 2789 1306 871 215 2522 2851
789 Inf 2131 697 2015 926 716 984 1748 2064
2905 2131 Inf 2812 383 2275 2473 3099 569 808
226 697 2812 Inf 2669 1086 641 438 2407 2761
2789 2015 383 2669 Inf 1894 2173 2982 269 1135
1306 926 2275 1086 1894 Inf 469 1525 1722 2583
871 716 2473 641 2173 469 Inf 1081 1960 2636
215 984 3099 438 2982 1525 1081 Inf 2715 3045
2522 1748 569 2407 269 1722 1960 2715 Inf 1125
2851 2064 808 2761 1135 2583 2636 3045 1125 Inf
